"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","3","",,"PythonRunner",,"1712514610618","task1.py",,,,,,
"o","3",,"Traceback (most recent call last):
",,"stderr","1712514615853",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 80, in <module>
",,"stderr","1712514615853",,,,,,,
"o","3",,"    main()
",,"stderr","1712514615853",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 11, in main
",,"stderr","1712514615853",,,,,,,
"o","3",,"    input(""\tHit Enter to Begin"")
",,"stderr","1712514615853",,,,,,,
"o","3",,"KeyboardInterrupt
",,"stderr","1712514615853",,,,,,,
"o","3",,"
Process finished with exit code 130 (interrupted by signal 2:SIGINT)
",,"system","1712514615854",,,,,,,
"Run.Program","3","",,"PythonRunner",,"1712516060819","task1.py",,,,,,
"Run.Program","4","",,"PythonRunner",,"1712516060964","task1.py",,,,,,
"o","4",,"
",,"stdout","1712516062244",,,,,,,
"o","4",,"Creating People List.",,"stdout","1712516062244",,,,,,,
"o","4",,".",,"stdout","1712516062745",,,,,,,
"o","4",,".",,"stdout","1712516063243",,,,,,,
"o","4",,".",,"stdout","1712516063743",,,,,,,
"o","4",,".",,"stdout","1712516064243",,,,,,,
"o","4",,"
",,"stdout","1712516064747",,,,,,,
"o","4",,"
",,"stdout","1712516064747",,,,,,,
"o","4",,"People List
",,"stdout","1712516064747",,,,,,,
"o","4",,"[]
",,"stdout","1712516064747",,,,,,,
"o","4",,"
",,"stdout","1712516064747",,,,,,,
"o","4",,"Hit Enter to group by Hometown",,"stdout","1712516064747",,,,,,,
"o","3",,"Traceback (most recent call last):
",,"stderr","1712516227333",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 91, in <module>
",,"stderr","1712516227333",,,,,,,
"o","3",,"    main()
",,"stderr","1712516227333",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 11, in main
",,"stderr","1712516227333",,,,,,,
"o","3",,"    input(""\tHit Enter to Begin"")
",,"stderr","1712516227333",,,,,,,
"o","3",,"KeyboardInterrupt
",,"stderr","1712516227333",,,,,,,
"o","3",,"
Process finished with exit code 130 (interrupted by signal 2:SIGINT)
",,"system","1712516227333",,,,,,,
"o","4",,"Traceback (most recent call last):
",,"stderr","1712516227334",,,,,,,
"o","4",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 91, in <module>
",,"stderr","1712516227334",,,,,,,
"o","4",,"    main()
",,"stderr","1712516227334",,,,,,,
"o","4",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn11/task1.py"", line 25, in main
",,"stderr","1712516227334",,,,,,,
"o","4",,"    input(""Hit Enter to group by Hometown"")
",,"stderr","1712516227334",,,,,,,
"o","4",,"KeyboardInterrupt
",,"stderr","1712516227334",,,,,,,
"o","4",,"
Process finished with exit code 130 (interrupted by signal 2:SIGINT)
",,"system","1712516227342",,,,,,,
