"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","Init merge content",,,"1712543549723","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Init merge content",,,,,
"X-Action","Apply Patch",,,"1712543560091","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Apply Patch",,,,,
"X-Action","Reload From Disk",,,"1712543560110","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560471","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560476","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560480","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560483","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560532","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712543560534","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Use Python 3.10",,,"1712543566982","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Use Python 3.10",,,,,
"X-Action","Reload From Disk",,,"1712590350237","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
"X-Action","Reload From Disk",,,"1712590519212","showyourwork.log","1.1.5 for 2021-2022 @t1",,"Reload From Disk",,,,,
