"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"Run.Program","3","",,"PythonRunner",,"1713401024876","task1.py",,,,,,
"o","3",,"pygame 2.5.1 (SDL 2.28.3, Python 3.11.6)
",,"stdout","1713401025179",,,,,,,
"o","3",,"Hello from the pygame community. https://www.pygame.org/contribute.html
",,"stdout","1713401025179",,,,,,,
"o","3",,"Traceback (most recent call last):
",,"stderr","1713401025816",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn12/task1.py"", line 143, in <module>
",,"stderr","1713401025816",,,,,,,
"o","3",,"    main()
",,"stderr","1713401025816",,,,,,,
"o","3",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn12/task1.py"", line 92, in main
",,"stderr","1713401025816",,,,,,,
"o","3",,"    game_grid[col].append(Cell())
",,"stderr","1713401025816",,,,,,,
"o","3",,"                          ^^^^
",,"stderr","1713401025816",,,,,,,
"o","3",,"NameError: name 'Cell' is not defined
",,"stderr","1713401025816",,,,,,,
"o","3",,"
Process finished with exit code 137 (interrupted by signal 9:SIGKILL)
",,"system","1713401032710",,,,,,,
"Run.Program","4","",,"PythonRunner",,"1713401049186","task1.py",,,,,,
"o","4",,"pygame 2.5.1 (SDL 2.28.3, Python 3.11.6)
",,"stdout","1713401049412",,,,,,,
"o","4",,"Hello from the pygame community. https://www.pygame.org/contribute.html
",,"stdout","1713401049412",,,,,,,
"o","4",,"
Process finished with exit code 137 (interrupted by signal 9:SIGKILL)
",,"system","1713401101260",,,,,,,
"Run.Program","5","",,"PythonRunner",,"1713401113445","task1.py",,,,,,
"o","5",,"pygame 2.5.1 (SDL 2.28.3, Python 3.11.6)
",,"stdout","1713401113845",,,,,,,
"o","5",,"Hello from the pygame community. https://www.pygame.org/contribute.html
",,"stdout","1713401113845",,,,,,,
"o","5",,"Traceback (most recent call last):
",,"stderr","1713401140094",,,,,,,
"o","5",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn12/task1.py"", line 143, in <module>
",,"stderr","1713401140094",,,,,,,
"o","5",,"    main()
",,"stderr","1713401140094",,,,,,,
"o","5",,"  File ""/home/silas/PycharmProjects/CS1400/Loosli-Silas-Assn12/task1.py"", line 140, in main
",,"stderr","1713401140094",,,,,,,
"o","5",,"    clock.tick(CLOCK_DELAY)
",,"stderr","1713401140094",,,,,,,
"o","5",,"KeyboardInterrupt
",,"stderr","1713401140094",,,,,,,
"o","5",,"
Process finished with exit code 137 (interrupted by signal 9:SIGKILL)
",,"system","1713401140255",,,,,,,
"Run.Program","6","",,"PythonRunner",,"1713401142007","task1.py",,,,,,
"o","6",,"pygame 2.5.1 (SDL 2.28.3, Python 3.11.6)
",,"stdout","1713401142203",,,,,,,
